Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
1,01-01-2022 11:00,01-01-2022 00:00,01-01-2022 15:06,Lucknow,527,VEHICLE - STOLEN,65,M,None,Violent Crime,4,Yes,27-02-2022 11:00
2,03-01-2022 22:00,01-01-2022 01:00,01-01-2022 23:44,Hyderabad,580,VEHICLE - STOLEN,71,M,None,Violent Crime,11,Yes,15-01-2022 22:00
3,03-01-2022 07:00,01-01-2022 02:00,01-01-2022 08:30,Kanpur,114,PUBLIC INTOXICATION,52,M,Other,Other Crime,14,Yes,11-01-2022 07:00
4,01-01-2022 23:00,01-01-2022 03:00,02-01-2022 01:56,Delhi,344,FRAUD,77,X,Explosives,Other Crime,6,No,
5,03-01-2022 08:00,01-01-2022 04:00,01-01-2022 07:00,Patna,297,FIREARM OFFENSE,44,F,Blunt Object,Fire Accident,8,Yes,09-02-2022 08:00
6,01-01-2022 18:00,01-01-2022 05:00,01-01-2022 14:54,Bangalore,117,DOMESTIC VIOLENCE,12,X,Blunt Object,Violent Crime,2,Yes,19-01-2022 18:00
7,03-01-2022 11:00,01-01-2022 06:00,01-01-2022 20:47,Delhi,189,ROBBERY,62,M,Poison,Violent Crime,6,No,
8,04-01-2022 05:00,01-01-2022 07:00,01-01-2022 08:50,Ludhiana,122,DOMESTIC VIOLENCE,59,M,Blunt Object,Violent Crime,2,No,
9,02-01-2022 04:00,01-01-2022 08:00,02-01-2022 07:57,Vasai,216,TRAFFIC VIOLATION,75,X,Knife,Traffic Fatality,1,No,
10,01-01-2022 15:00,01-01-2022 09:00,02-01-2022 07:54,Chennai,362,IDENTITY THEFT,69,X,Poison,Violent Crime,19,No,
11,03-01-2022 04:00,01-01-2022 10:00,02-01-2022 01:50,Delhi,486,CYBERCRIME,75,F,Explosives,Other Crime,15,Yes,25-01-2022 04:00
12,02-01-2022 02:00,01-01-2022 11:00,02-01-2022 02:22,Delhi,228,TRAFFIC VIOLATION,10,M,Firearm,Traffic Fatality,10,Yes,22-01-2022 02:00
13,02-01-2022 00:00,01-01-2022 12:00,01-01-2022 21:44,Nagpur,103,DOMESTIC VIOLENCE,54,X,Firearm,Violent Crime,4,No,
14,03-01-2022 13:00,01-01-2022 13:00,02-01-2022 03:17,Indore,149,SHOPLIFTING,54,X,None,Other Crime,9,Yes,11-03-2022 13:00
15,04-01-2022 11:00,01-01-2022 14:00,01-01-2022 14:23,Indore,523,PUBLIC INTOXICATION,29,M,Explosives,Other Crime,11,No,
16,04-01-2022 08:00,01-01-2022 15:00,01-01-2022 17:36,Indore,518,ROBBERY,59,X,Other,Violent Crime,16,Yes,21-05-2022 08:00
17,03-01-2022 20:00,01-01-2022 16:00,01-01-2022 16:20,Mumbai,287,DRUG OFFENSE,47,F,Explosives,Other Crime,7,Yes,15-03-2022 20:00
18,03-01-2022 20:00,01-01-2022 17:00,02-01-2022 16:38,Nagpur,218,HOMICIDE,58,F,Blunt Object,Other Crime,2,No,
19,03-01-2022 18:00,01-01-2022 18:00,01-01-2022 20:19,Mumbai,153,SHOPLIFTING,69,M,Blunt Object,Other Crime,8,No,
20,02-01-2022 04:00,01-01-2022 19:00,02-01-2022 18:10,Surat,188,CYBERCRIME,22,F,Knife,Other Crime,8,Yes,16-02-2022 04:00
21,03-01-2022 18:00,01-01-2022 20:00,02-01-2022 07:37,Visakhapatnam,581,SEXUAL ASSAULT,41,M,Knife,Violent Crime,19,No,
22,03-01-2022 23:00,01-01-2022 21:00,02-01-2022 18:27,Agra,300,EXTORTION,51,X,Poison,Other Crime,19,Yes,17-01-2022 23:00
23,02-01-2022 22:00,01-01-2022 22:00,02-01-2022 20:53,Delhi,577,PUBLIC INTOXICATION,52,F,None,Other Crime,2,Yes,22-01-2022 22:00
24,03-01-2022 20:00,01-01-2022 23:00,02-01-2022 16:24,Bangalore,128,SEXUAL ASSAULT,19,F,Blunt Object,Violent Crime,15,Yes,01-04-2023 20:00
25,02-01-2022 18:00,01-02-2022 00:00,02-01-2022 01:37,Kolkata,544,COUNTERFEITING,72,M,Blunt Object,Other Crime,1,Yes,04-03-2022 18:00
26,02-01-2022 20:00,01-02-2022 01:00,02-01-2022 13:21,Mumbai,305,COUNTERFEITING,43,X,Blunt Object,Other Crime,17,No,
27,03-01-2022 20:00,01-02-2022 02:00,02-01-2022 08:12,Bhopal,491,DOMESTIC VIOLENCE,69,M,Explosives,Violent Crime,9,No,
28,03-01-2022 16:00,01-02-2022 03:00,02-01-2022 12:05,Chennai,529,ARSON,27,M,Knife,Fire Accident,10,Yes,28-03-2022 16:00
29,03-01-2022 13:00,01-02-2022 04:00,02-01-2022 06:00,Varanasi,533,SEXUAL ASSAULT,28,M,Blunt Object,Violent Crime,1,No,
30,03-01-2022 11:00,01-02-2022 05:00,02-01-2022 17:45,Delhi,496,IDENTITY THEFT,21,F,Firearm,Violent Crime,3,No,
31,02-01-2022 15:00,01-02-2022 06:00,03-01-2022 00:05,Chennai,278,IDENTITY THEFT,51,X,Blunt Object,Violent Crime,19,Yes,13-03-2022 15:00
32,03-01-2022 01:00,01-02-2022 07:00,03-01-2022 04:38,Nagpur,501,DOMESTIC VIOLENCE,40,F,Other,Violent Crime,2,Yes,21-03-2022 01:00
33,04-01-2022 13:00,01-02-2022 08:00,02-01-2022 16:52,Ahmedabad,126,HOMICIDE,38,X,Blunt Object,Other Crime,19,No,
34,03-01-2022 03:00,01-02-2022 09:00,02-01-2022 15:56,Srinagar,511,DRUG OFFENSE,20,X,None,Other Crime,11,No,
35,03-01-2022 23:00,01-02-2022 10:00,03-01-2022 04:05,Surat,357,COUNTERFEITING,28,F,None,Other Crime,19,Yes,15-02-2022 23:00
36,03-01-2022 20:00,01-02-2022 11:00,02-01-2022 11:58,Mumbai,228,PUBLIC INTOXICATION,25,F,Knife,Other Crime,5,No,
37,05-01-2022 06:00,01-02-2022 12:00,03-01-2022 08:32,Nashik,273,ILLEGAL POSSESSION,72,M,Other,Other Crime,12,No,
38,03-01-2022 03:00,01-02-2022 13:00,03-01-2022 07:49,Delhi,412,ROBBERY,37,M,Poison,Violent Crime,4,No,
39,04-01-2022 00:00,01-02-2022 14:00,03-01-2022 04:18,Srinagar,119,SHOPLIFTING,44,F,Firearm,Other Crime,19,No,
40,05-01-2022 09:00,01-02-2022 15:00,02-01-2022 19:27,Patna,526,IDENTITY THEFT,22,M,Explosives,Violent Crime,13,Yes,26-01-2022 09:00
41,03-01-2022 04:00,01-02-2022 16:00,02-01-2022 19:46,Faridabad,447,FRAUD,74,X,Explosives,Other Crime,16,Yes,10-03-2022 04:00
42,05-01-2022 10:00,01-02-2022 17:00,03-01-2022 16:06,Kolkata,546,BURGLARY,65,F,Explosives,Other Crime,9,Yes,04-03-2022 10:00
43,03-01-2022 04:00,01-02-2022 18:00,03-01-2022 12:19,Ahmedabad,506,ROBBERY,75,F,Poison,Violent Crime,3,Yes,15-04-2022 04:00
44,03-01-2022 16:00,01-02-2022 19:00,03-01-2022 17:41,Kanpur,145,ROBBERY,12,X,Other,Violent Crime,13,Yes,16-03-2022 16:00
45,05-01-2022 19:00,01-02-2022 20:00,03-01-2022 06:09,Ahmedabad,565,IDENTITY THEFT,30,X,Poison,Violent Crime,7,No,
46,04-01-2022 16:00,01-02-2022 21:00,03-01-2022 13:41,Chennai,429,PUBLIC INTOXICATION,19,F,Knife,Other Crime,3,No,
47,03-01-2022 23:00,01-02-2022 22:00,02-01-2022 22:25,Jaipur,297,DOMESTIC VIOLENCE,74,X,None,Violent Crime,5,Yes,20-02-2022 23:00
48,05-01-2022 00:00,01-02-2022 23:00,03-01-2022 01:50,Mumbai,465,SEXUAL ASSAULT,49,M,None,Violent Crime,15,Yes,17-02-2023 00:00
49,04-01-2022 07:00,01-03-2022 00:00,03-01-2022 19:10,Nagpur,248,ASSAULT,25,M,Other,Violent Crime,6,No,
50,03-01-2022 12:00,01-03-2022 01:00,03-01-2022 01:50,Bangalore,423,DRUG OFFENSE,40,M,Knife,Other Crime,18,No,
51,05-01-2022 12:00,01-03-2022 02:00,03-01-2022 20:04,Delhi,154,TRAFFIC VIOLATION,79,X,Blunt Object,Traffic Fatality,5,No,
52,04-01-2022 02:00,01-03-2022 03:00,03-01-2022 06:59,Mumbai,316,CYBERCRIME,52,F,Explosives,Other Crime,12,No,
53,03-01-2022 20:00,01-03-2022 04:00,03-01-2022 22:13,Pune,484,VANDALISM,47,M,Firearm,Other Crime,5,Yes,13-03-2022 20:00
54,06-01-2022 03:00,01-03-2022 05:00,03-01-2022 17:38,Ghaziabad,219,VANDALISM,13,M,Blunt Object,Other Crime,19,Yes,03-03-2022 03:00
